pid,title,language,original_label,rights,location_of_original,photographer_or_studio,scanned_from,_date,location,description,additional_notes,permission_display,on_server,on_website
SHA-12-012,SHA-12-012,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.7 by 12.6,1984,ليبيا,فرقة شرحبيل احمد وشخص اخر,,yes,no,no
SHA-13-001,SHA-13-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.9 by 11.1,1965,تونس,عيد المرجان شرحبيل احمد حسن سروجي كامل حسين في رقص شعبي ,,yes,yes,yes
SHA-14-001,SHA-14-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10.5 by 16,1963,الخرطوم,حسن سروجي وشرحبيل احمد,,yes,no,no
SHA-14-002,SHA-14-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.9 by 13.9,1965,تونس,حسن سروجي,,yes,no,no
SHA-14-003,SHA-14-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.8 by 14,1965,الخرطوم,شرحبيل احمد وفرقته وعلي شمو ومدير الاذاعة السيد التاج محمد في المطار,,yes,no,no
SHA-14-004,SHA-14-004,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.2 by 10.4,1965,تونس,شرحبيل احمد وفرقته,,yes,no,no
SHA-14-005,SHA-14-005,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8.2 by 10,1965,تونس,شرحبيل احمد وحسن سروجي وبعض الاخرين,,yes,no,no
SHA-14-006,SHA-14-006,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.4,1965,تونس,شرحبيل احمد وفرقته والاخرون من حفل عيد المرجان,,yes,no,no
SHA-14-007,SHA-14-007,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 7.3 by 10.4,1965,تونس,شرحبيل احمد وفرقته والاخرون من حفل عيد المرجان,,yes,no,no
SHA-14-008,SHA-14-008,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 8 by 11,1965,تونس,عيد المرجان شرحبيل احمد حسن سروجي كامل حسين في رقص شعبي ,,yes,no,no
SHA-15-001,SHA-15-001,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15.1,2007,اثيوبيا، اديس ابابا,ثلاثة اشخاص في معرض الفن,,yes,no,no
SHA-15-002,SHA-15-002,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 9.9 by 14.8,25/10/1991,اثيوبيا، اديس ابابا,شرحبيل احمد,,yes,no,no
SHA-15-003,SHA-15-003,ar,,شرحبيل احمد,شرحبيل احمد,,photograph 10 by 15.1,1991,اثيوبيا، اديس ابابا,شرحبيل احمد ومبعوثين في اثيوبيا لحفل,,yes,no,no
